Name;Email;House;Position
Dmytro;;Gryffindor;Beater
Vitaliy;;Hufflepuff;Chaser
Oleh;;Ravenclaw;Keeper
Oleksandr;;Slytherin;Seeker
Vlad;;Gryffindor;Beater
DmytroR;ragozindy@gmail.com;Gryffindor;Beater
Dmytro;ragozindy@gmail.com;Gryffindor;Beater
Dmytro;ragozindy@gmail.com;Gryffindor;Beater
12;ragozindy@gmail.com;Hufflepuff;Keeper
123;;Ravenclaw;Seeker
12;ragozindy@gmail.com;Ravenclaw;Keeper
12345;ragozindy@gmail.com;Hufflepuff;Chaser
123567;ragozindy@gmail.com;Slytherin;Chaser
908;ragozindy@gmail.com;Gryffindor;Keeper
555;ragozindy@gmail.com;Hufflepuff;Seeker
dm;;Gryffindor;Chaser
zx;;Ravenclaw;Seeker
andru;;Hufflepuff;Chaser
